Year,East Asia and Pacific,Eastern Africa,Europe and Central Asia,Latin America and the Caribbean,Middle Africa,Middle East and North Africa,South Asia,Southern Africa,Sub-Saharan Africa,Western Africa,World,World (excluding Sub-Saharan Africa)
2006,,,,,,,,,200000,,3999986,3799986
2007,,,,,,,,,,,7258095,
2008,,,,,,,,,,,13805906,
2009,,,,,,,,,,,29047305,
2010,,,,,,,,,,,48602198,
2011,16674768,39836904,857907,1924561,256116,2586494,1740339,1451715,48321609,6776874,72105677,23784068
2012,14188036,56991820,2034791,2727225,2629373,33628884,7604451,2646840,74794645,12526612,134978033,60183388
2013,15693577,80401155,2967728,7234142,6531056,35494699,25291568,6017313,112678642,19729117,199360357,86681715
2014,24488644,107312294,3797914,12436929,13326482,37483894,49129030,10043647,166060580,35378157,293396991,127336411
2015,31847883,137136575,10586402,16612385,18095937,40845319,99919822,13900452,232092773,62959809,431904584,199811811
2016,48990725,172575532,10276753,19272487,20493825,44684869,158364051,7706851,287956650,87180443,569545536,281588886
2017,68548681,193343479,11549376,23529446,35182228,47268744,223726066,10031732,348603535,110046096,732225848,383622313
2018,94609342,212956100,12353452,26992612,37929577,48891406,287593745,11223095,395698890,133590118,866139447,470440557